"id","recipies_title","recipe_ingredients","recipe_instructions"
"1","Adai Dosa","4
asafoetida/hing
basmati rice 1
chana dal or bengal gram 1
ginger
green chilies
idli rice
onion
red chilli (dried) 1
toor dal
urad dal 1
yellow moong dal","Ingredients
0.50 cup MOONG DAL RAW
0.25 cup CHANNA DAL RAW
0.50 cup TOOR DAL
1 tbsp URAD DAL
0.50 cup IDLI RICE
0.25 tsp HING OR ASAFOETIDA
5 no DRY RED CHILIES
1 cup ONION CHOPPED
1 no GREEN CHILIES
0.50 cup BASMATI RICE
1 inch GINGER
Instructions
1: Wash and soak the idli rice, basmati rice, toor dal, channa dal, moong dal and urad dal together for 5 hours. 
2: After 5 hours grind rice, lentils, ginger and red chilies together until smooth. Add water little by little and grind it to a smooth batter. The batter should not be too thick or thin. 
3: Chop the onion and green chilies finely. In a wide bowl combine rice and lentils batter, chopped onion, green chilies, salt, and asafoetida together. Mix well. 
4: In a hot skillet pour a ladle full of batter and spread it in a circular motion. Drizzle oil on sides of the dosa and cook until the bottom side turns crispy. 
5: Flip and cook on the other side until the brown spots appear. Adai dosa is ready to be served. 
"
"10","Egg Dosa","2
black pepper
dosa batter 1
egg 1
oil
salt","Ingredients
0.50 cup Dosa Batter
1 no Egg
0.50 tsp Salt
0.25 tsp Black pepper powder
1 tsp Oil
Instructions
1: Heat a wide skillet and pour a ladle full of batter on the center a skillet and spread into a thin circle. 
2: Crack open the egg on the dosa and break the yolk with a fork or spoon and spread evenly on the dosa. 
3: Season with salt and crushed black peppers. Drizzle oil on the sides of a dosa and cook on both the sides until the egg and bottom side of the dosa get cooked thoroughly. 
"
"11","Egg Pepper Fry","3
black pepper 1
coriander powder
egg 1
ginger garlic paste 1
oil
onion
salt","Ingredients
2 no EGG WHL RAW FRSH
1 cup ONIONS RAW
0.5 tsp CORIANDER POWDER
1 tsp GINGER GARLIC PASTE
0.25 tsp PEPPER BLACK
0.5 tsp SALT TABLE
3 tbsp OIL
Instructions
1: Place eggs in saucepan with cold water, enough to cover the eggs. 
2: Bring the water to boil, remove from heat and cover the pan. Let eggs stand in hot water for 12 minutes. 
3: Discard the water and crack open the eggs and slice it. 
4: In a separate pan heat oil add fennel seeds, sliced onion, curry leaves and cook until onions become soft. 
5: Add ginger garlic paste and cook until it loses its raw smell.  
6: Add salt, coriander powder, pepper powder and mix well. 
7: Add sliced eggs and mix gently and serve. 
"
"12","Egg Thokku","3
chilli powder
coriander powder
curry leaves
egg 1
garlic 1
methi/fenugreek
mustard seeds
oil
onion
salt
tamarind 1
urad dal
water","Ingredients
4 no ROMA TOMATO
1 cup ONION
3 tbsp OIL
0.50 tbsp CORIANDER POWDER
1 tsp RED CHILI POWDER
1 tsp FENUGREEK SEED
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
10 no CURRY LEAVES
0.50 tsp TAMARIND
0.50 cup WATER
1.50 tsp SALT TABLE
4 no EGG WHL RAW FRSH
4 gms GARLIC RAW
Instructions
1: Boil the eggs separately: In a saucepan place eggs and add water to cover the eggs. Add a pinch of salt and bring to a rolling boil. Turn off the heat and cover the pan with a lid and allow the eggs to sit in a hot water for 15 mins. Crack open and slice each egg in a half. 
2: In a pan heat oil add mustard seeds and allow it to splutter. Add urad dal, fenugreek seeds and cook until the fenugreek seeds color changes to golden brown. Add curry leaves, chopped garlic and saute until the garlic color changes to golden brown. 
3: Add chopped onion and cook until the onion becomes soft. Add turmeric powder and cook until the turmeric powder loses its raw smell. 
4: Add chopped tomato, salt and cook until the tomatoes become soft and mushy (keep stirring in between to avoid the tomatoes getting burned. 
5: Add coriander powder, red chili powder and mix well. Cook until the spices lose its raw smell. Add tamarind paste, water and bring the mixture to a boil. Cook until the gravy becomes thick and the oil separates on top of a gravy. 
6: Add boiled eggs and mix gently. Cook the gravy over a low heat for five minutes and serve. 
"
"13","Ennai Kathirikai Kulambu","3
black cumin seeds /kala jeera
brinjal 1
chilli powder
coriander powder
curry leaves
garlic
ginger
methi/fenugreek
mustard seeds
oil
onion
salt
shredded coconut 1
tamarind
tomato 1
turmeric powder
urad dal
water","Ingredients
4 no EGGPLANT
2 no ROMA TOMATO
1 no ONION CHOPPED
3 tbsp OIL
0.25 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
0.50 tsp FENUGREEK SEED
10 no CURRY LEAVES
8 gms GARLIC
1 tsp GINGER GRATED
1 tsp TAMARIND
1.50 cup WATER
1 tbsp CORIANDER POWDER
1 tbsp RED CHILI POWDER
1.50 tsp SALT (to taste)
0.50 tsp TURMERIC POWDER
0.25 cup COCONUT SHREDDED
1 tsp CUMIN SEED
Instructions
1: Wash the eggplants and make four slits on bottom of the eggplants as I shown in the picture. 
2: In a pan heat a tbsp of oil, add eggplants and roast in a medium flame until it becomes soft and the color changes slightly. Remove eggplants from the oil and keep it aside until needed. Be careful when placing eggplants in the oil because the moisture content in the eggplants makes oil to pop and splutter out of the pan. 
3: In the same pan, heat two tbsp of oil, add mustard seeds and allow it to splutter. Add urad dal, fenugreek seeds and saute until the color changes into golden brown. 
4: Add chopped garlic, grated ginger and saute until the nice aroma comes out. 
5: Add curry leaves, chopped onion and cook until the onion becomes soft. Add chopped tomatoes and cook until it becomes soft and mushy. 
6: Add coriander powder, red chili powder, turmeric powder, salt and mix well. Cook until the spices lose its raw smell. 
7: Add 1.50 cups of water, tamarind concentrate and mix well. Allow it to boil for five minutes. If you are using raw tamarind, soak in a hot water for ten minutes and extract juice from it and add to the curry. 
8: Add roasted eggplants, cover and cook for five minutes. Grind shredded coconut with cumin seeds to a smooth paste and add it to the curry. Reduce the flame and boil for another 5 minutes and garnish with chopped coriander leaves. 
"
"14","Fish Puttu","4
chilli powder
coriander leaves
coriander powder
curry leaves
fennel seed 1
garlic
green chilies 1
oil
onion 1
salmon 1
salt
turmeric powder
","Ingredients
1 lb SALMON
2 cup ONIONS RAW
4 no GREEN CHILIES
1 tsp GARLIC RAW
0.50 tbsp RED CHILI POWDER
1 tbsp CORIANDER POWDER
4 tbsp OIL
1 tsp FENNEL SEED
10 no CURRY LEAVES
0.25 tsp TURMERIC GROUND
2 tbsp CILANTRO (CORIANDER)LEAVES
1.50 tsp SALT TABLE
Instructions
1: Place the salmon fillet on a hot skillet, cover and cook on both sides, until the salmon gets cooked or until flakes easily with a fork. Flake the cooked salmon using a fork into tiny chunks and keep aside. 
2: Heat oil in a pan add fennel seeds, chopped garlic and cook until garlic changes its color slightly. 
3: Add the chopped green chilies, curry leaves, chopped onion and cook until onion becomes soft. 
4: Add the flaked salmon, turmeric powder, coriander powder, red chili powder, salt and mix well. Cook for 5 minutes on a medium flame until the salmon color starts changing to golden brown slightly, keep stirring in between to avoid getting burned. Garnish with chopped coriander leaves. 
"
"15","Garlic Paruppu Podi","4
asafoetida/hing
black cumin seeds /kala jeera
black pepper
garlic 1
red chilli (dried) 1
roasted gram (dalia) 1
salt
toor dal 1
","Ingredients
0.50 cup DAL
15 gms GARLIC RAW
0.50 gms ROASTED GRAM
0.75 tsp SALT TABLE
0.50 tbsp CUMIN SEED
0.50 tbsp PEPPER BLACK
3 no DRY RED CHILIES
0.25 tsp HING OR ASAFOETIDA
Instructions
1: In a pan dry roast the toor dal and roasted grams together until the color changes into golden brown. Remove from the heat and allow it to cool. 
2: In the same pan dry roast cumin seeds, black pepper, and dry red chillies together until nice aroma comes out. Red chilies tend to burn quickly, so roast it in a low flame carefully. Remove from the pan and allow it to cool. 
3: In the same pan dry roast the garlic until the color changes into light brown and allow it to cool. 
4: Grind roasted toor dal, roasted gram, spices, and garlic to a fine powder and store it in an airtight container. 
"
"16","Hyderabadi Chicken Biryani","2
basmati rice 1
black cumin seeds /kala jeera
chicken 1
chilli powder
cinnamon
cloves/lavang
coriander powder
coriander seeds
fried onion
garam masala powder
ghee
ginger garlic paste
green cardamom
green chilies
lemon
mint leaves
oil
rose water
salt
turmeric powder
yogurt","Ingredients
2 lb CHICKEN (with bones)
0.50 cup YOGURT
3 cup BASMATI RICE
4 tbsp OIL
1.50 tbsp GINGER GARLIC PASTE
2 tbsp CORIANDER POWDER
1 tsp CUMIN SEED
1 tbsp GARAM MASALA
1 tsp SALT TABLE
0.50 tsp TURMERIC GROUND
4 no GREEN CHILIES
0.50 cup MINT LEAVES
0.50 cup CILANTRO (CORIANDER)LEAVES RAW
1 cup FRIED ONION
1 tsp RED CHILI POWDER
1 no CINNAMON
2 no CLOVES
2 no CARDAMOM
1 tsp ROSE WATER
1 tsp LEMON JUICE RAW
1 tbsp GHEE
Instructions
1: Cut the chicken into bigger pieces and marinate it with coriander powder, red chili powder, garam masala, turmeric powder, ginger garlic paste, yogurt, oil, mint leaves, green chilies, chopped coriander leaves, lemon juice, fried onions and cumin powder. Refrigerate it for at least 2 hours. 
2: Soak basmati rice in cold water for at least an hour. In the meantime, you can prepare fried onions if you do not have store bought one. Slice the onions thinly and sprinkle rice flour. Mix well and deep fry it in a hot oil until the color changes into golden brown. 
3: After a couple of hours pull out the chicken from refrigerator and arrange evenly on a wide pan. Avoid crowding the chicken too much, each and every piece must be touching the bottom of a pan. 
4: In a separate pan bring water to boil. When its start boiling add salt, cumin seeds, cinnamon stick, cloves, bay leaf and cardamom to the boiling water. Add a tsp of oil and mix well. Check for the salt at this time before adding rice. The water should not be too salty nor saltless, it should be in a correct taste. Add rice to the boiling water and mix well. Cook until the rice gets 75 % done. 
5: Drain the rice completely using a colander and lay it on the chicken evenly. 
6: Top the rice with kewra water, rose water, ghee, chopped coriander leaves and fried onions. Cover the pan with a tight lid and cook over high heat for five mins, medium heat for 15 minutes and low flame for 20 mins. Keep the biryani covered for at least 10 minutes after cooking and serve. 
"
"17","Idli","2
idli rice 1
methi/fenugreek
salt
urad dal 1","Ingredients
2 cup Idli Rice
0.50 cup Urad Dal
0.50 tsp Fenugreek Seeds
1 tsp Salt
Instructions
1: Wash urad dal once and soak in water for at least 4 hours. Wash idli rice (parboiled rice) 2 - 3 times and soak rice and fenugreek seeds together in water for at least 4 hours.  
2: After four hours discard the water from soaked urad dal and add the urad dal in a Blendtec jar. Add cold water little by little and grind it to a smooth batter. Choose batter option and grind for 3 - 4 times until the batter is smooth and fluffy. Transfer the batter to a wide bowl and set aside until needed. 
3: Strain and discard the water from soaked rice and add rice to a blendtec jar. Grind the rice to a smooth batter (little coarse batter is fine) by adding cold water little by little. Choose batter option for 2 - 3 times and grind until smooth. Transfer the rice batter to a wide bowl with urad dal batter, add salt and mix well with hand. 
4: Cover the bowl with a lid and set the batter for 8 hours or overnight for fermentation. After fermentation, the batter will rise in its quantity and the texture of the batter is light and foamy. 
5: Mix the batter once with ladle and add water if the batter is too thick. Now the idly batter is ready.  
6: Grease the idli molds with oil and pour a spoonful of batter in each mold and steam the idlis in Idli cooker for 10 - 12 minutes or until you hear the whistle sound.  
7: Let the idlis in the idly cooker itself for 2 - 3 minutes and transfer the idlies to a serving plate using a spoon. Hot steamed idlis are ready to be served. 
"
"18","Lemon Rice","3
asafoetida/hing
basmati rice 1
chana dal or bengal gram
cumin / jeera
ginger
green chilies
lemon 1
mustard seeds
oil
peanuts 1
red chilli (dried)
salt
turmeric powder
urad dal","Ingredients
1 cup BASMATI RICE
2 tbsp LEMON JUICE RAW
1 tsp SALT TABLE
1 tbsp OIL
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
1 tsp CHANNA DAL RAW
0.25 tsp HING OR ASAFOETIDA
0.50 tsp TURMERIC GROUND
0.50 tsp CUMIN SEED
2 no RED CHILIES
2 no GREEN CHILIES
0.25 cup PEANUTS
0.50 tsp GINGER GRATED
Instructions
1: Cook rice separately and allow it to cool. Leftover rice works best for this recipe. 
2: Gather all the ingredients and keep it closer to you to grab quickly.  
3: In a small pan heat oil add dry red chilies, mustard seeds and allow the mustard seeds to splutter. Add cumin seeds, urad dal and cook until urad dal becomes light brown. 
4: Followed by add channa dal and cook until the color changes into light brown. Add asafoetida and mix well in the oil. 
5: Add chopped ginger, green chilies slit, turmeric powder and mix well in the oil. Add peanuts and cook until peanuts become crunchy. All these processes take only 2 - 3 minutes. 
6: Add the tempered items to the white rice, add lemon juice, salt and check for the taste and add salt accordingly. Garnish with chopped coriander leaves and serve. 
"
"19","Maa Ladoo","2
ghee 1
green cardamom
roasted gram (dalia) 1
sugar","Ingredients
1 cup ROASTED GRAM (DALIA)
0.50 cup SUGAR
0.25 cup GHEE
2 no CARDAMOM
Instructions
1: Place roasted grams in a mixer and grind it to a fine powder and transfer it to a bowl. 
2: Grind sugar and cardamoms together to a fine powder and add it to the powdered roasted grams. 
3: Heat ghee in a microwave oven for 40 - 50 seconds and add it to the powdered roasted grams mixture. 
4: Mix well and shape them into the small balls. Serve or store it in an air-tight container for up to a week. 
"
"2","Anchovy Fry","3
all purpose flour 1
anchovy 1
chilli powder
coriander powder
curry leaves
ginger garlic paste 1
lemon
salt
turmeric powder","Ingredients
1 lb ANCHOVY
1 tbsp GINGER GARLIC PASTE
1 tbsp CORIANDER POWDER
0.50 tbsp RED CHILI POWDER
1 tsp SALT TABLE
2 tbsp ALL PURPOSE FLOUR
0.50 tsp TURMERIC GROUND
10 no CURRY LEAVES
1 tsp LEMON JUICE RAW
Instructions
1: Clean and wash the anchovy thoroughly. I used cleaned frozen anchovy, so I thawed it in a refrigerator for over night and washed it in the cold water once before marinating. 
2: In a wide bowl marinate the anchovy with red chili powder, turmeric powder, coriander powder, salt, ginger garlic paste, lemon juice, curry leaves and mix well.  
3: Add all purpose flour and mix well. Sprinkle little amount of water and mix well until the spices and flour coated evenly on anchovy. Marinate in the refrigerator for an hour. 
4: In a hot oil shallow fry the marinated anchovy until it turns into crispy. 
"
"20","Masala Dosa","3
chana dal or bengal gram
coriander leaves
dosa batter 1
garlic
ginger
green chilies
mustard seeds
oil
onion
potatoes 1
red chilli (dried)
salt
shredded coconut
tamarind
urad dal 1","Ingredients
2 cups DOSA BATTER
1 no POTATO (MEDIUM SIZE)
0.50 cup ONION (SLICED THINLY)
2 no GREEN CHILIES
1 tbsp OIL
0.50 tsp MUSTARD SEEDS
1 tsp URAD DAL
0.50 tsp GINGER GRATED
1 tbsp CILANTRO (CORIANDER)LEAVES RAW
1 tsp SALT (to taste)
1 cup ONION CHOPPED
2 tbsp COCONUT SHREDDED
2 tbsp CHANNA DAL
15 gms GARLIC
0.50 tsp TAMARIND
1 tbsp OIL
6 no RED CHILIES RAW
Instructions
1: For spicy chutney: In a pan heat a tbsp of oil, add channa dal, red chilies and roast until the channa dal color changes to golden brown. 
2: Add garlic, chopped onion and cook until the onion becomes soft. Add grated coconut, tamarind and saute until the nice coconut aroma comes out. Allow to cool and grind to a smooth paste by adding water little by little. 
3: For potato masala: Peel the potatoes and cut them roughly. In a saucepan add water, chopped potatoes and boil until the potatoes become tender. Mash the potatoes using a fork or potato masher. 
4: In a pan heat oil, add mustard seeds and allow to splutter. Add urad dal and saute until the color changes to golden brown. 
5: Add asafoetida and mix well in the oil. Add grated ginger, chopped onion, chopped green chilies and cook until the onion becomes soft.  
6: Add turmeric powder and cook until the turmeric powder loses its raw smell. 
7: Add water and cook until the onion becomes soft. Add mashed potato, salt and mix well. Garnish with chopped coriander leaves. 
8: For Mysore masala dosa: In a non-stick skillet, pour a laddle full of batter and spread into a thin circle. Drizzle oil on the corners of a dosa and cook until the dosa get cooked completely. 
9: Spread the spicy chutney on the dosa evenly and place a spoon of potato masala in the center of a dosa. Fold and serve. 
"
"21","Medu Vada","2
coriander leaves
ginger
green chilies
oil
onion 1
salt
urad dal 1
water
curry leaves","Ingredients
1 cup URAD DAL
1 cup ONION CHOPPED
2 no GREEN CHILIES
0.50 tsp GINGER
10 no CURRY LEAVES
3 tbsp CILANTRO (CORIANDER)LEAVES RAW
2 tbsp WATER
1 tsp SALT (to taste)
1 cup OIL (for deep frying)
Instructions
1: Soak the urad dal for 4 - 5 hours. Drain water completely and grind it to a smooth and fluffy batter (Sprinkle little amount of water while grinding for a fluffy batter).  
2: Add the chopped onion, green chilies, curry leaves, grated ginger, chopped coriander leaves, salt and mix well. 
3: Divide the batter into small portions and make a hole in between and deep fry in hot oil until the color changes into golden brown. 
"
"22","Moong Dal Payasam","4
cashewnuts or kaju
ghee 1
green cardamom
jaggery 1
milk 1
moong dal 1
raisins
shredded coconut","Ingredients
1 cup MOONG DAL RAW
1.75 cup JAGGERY
2 no CARDAMOM
2 tbsp GHEE
1 cup SHREDDED COCONUT OR THINLY SLICED COCONUT PIECES
10 gms CASHEW NUTS RAW
10 gms RAISINS GOLDEN SEEDLESS
4 cups MILK
Instructions
1: Pressure cook moong dal separately for 4 whistles or until soft. Allow it to cool naturally. 
2: In a microwave heat jaggery with a little amount of water until the jaggery melts down completely and filter it (you can also make jaggery syrup on the stove top using a heavy bottomed pan). 
3: In a separate pan heat ghee and roast cashew nuts until the color changes into golden brown. Remove it using a slotted spoon and keep aside. 
4: Add raisins and cook until it plumps up. Remove using a spoon and keep aside.  
5: Add shredded coconuts and roast it until the color changes into golden brown. 
6: Add cooked dal, cardamoms, jaggery syrup and mix well. Add milk, mix well and allow it to boil. When it starts boiling, turn off the heat and garnish it with roasted cashew nuts and raisins. You can serve this dessert hot or cold. 
"
